facility,year,quarter,art_current,art_new
fifoz,2019,2,165,2
fifoz,2019,3,132,1
busik,2015,1,186,5
busik,2015,2,185,5
busik,2015,3,181,0
busik,2015,4,181,1
busik,2016,1,185,4
busik,2016,2,185,4
busik,2016,3,186,1
busik,2016,4,187,8
busik,2017,1,193,5
busik,2017,2,181,3
busik,2017,3,172,0
busik,2017,4,182,4
busik,2018,1,173,1
busik,2018,2,173,4
busik,2018,3,172,3
busik,2018,4,186,1
busik,2019,1,172,1
busik,2019,2,181,2
busik,2019,3,178,3
busik,2019,4,178,0
busik,2020,2,178,0
busik,2020,1,178,3
vadig,2015,1,941,41
vadig,2015,2,917,13
vadig,2015,3,945,50
vadig,2015,4,1008,33
vadig,2016,1,995,40
vadig,2016,2,999,39
vadig,2016,3,1031,35
vadig,2016,4,998,22
vadig,2017,1,1034,31
vadig,2017,2,1108,40
vadig,2017,3,918,30
vadig,2017,4,912,42
vadig,2018,1,1223,27
vadig,2018,2,973,23
vadig,2018,3,1046,26
vadig,2018,4,1014,19
